timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
549275109,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
549782159,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
550289064,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
550794076,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
551301088,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
551810571,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
552317163,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
552824191,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
553331260,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
553838509,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
554348165,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
554857437,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
555364275,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
555872192,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
556380330,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
556888252,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
557388983,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
557893289,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
558402490,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
558904134,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
559406069,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
559913100,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
560416082,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
560916161,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
561416172,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
561924138,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
562431247,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
